LAD20NM,Group Name
Chorley,"['Manufacturing, energy and utilities'
 'Public administration and security' 'Industrial units' 'Market squares'
 'Large scale education' 'Regional business centres'
 'Healthcare and public administration' 'Traditional high streets'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Accessible countryside'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Town fringe countryside ' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Business parks']"
City of London,"['Global business' 'Big city life' 'Administrative centres '
 'Science and business parks' 'Independent professional metro services']"
Colchester,"['Eat, drink and be merry' 'Healthcare and public administration'
 'Public administration and security' 'Shop until you drop'
 'Traditional high streets' 'Multiethnic urban high streets'
 'Market squares' 'Regional business centres'
 'Non-metropolitan suburban areas' 'Low density wholesale and retail'
 'Business parks' 'Manufacturing, energy and utilities'
 'Science and business parks' 'Industrial units' 'Large scale education'
 'Mining and quarrying facilities' 'Traditional countryside'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Primarily residential suburbs' 'Metro suburban distribution industries'
 'Professional home-workers in outer suburbs' 'Town fringe countryside '
 'Teachers and carers in metro suburbs']"
Copeland,"['Manufacturing, energy and utilities' 'Business parks'
 'Public administration and security' 'Large scale education'
 'Low density wholesale and retail' 'Traditional high streets'
 'Healthcare and public administration' 'Market squares'
 'Town fringe countryside ' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Mining and quarrying facilities'
 'Traditional countryside' 'Accessible countryside']"
Corby,"['Public administration and security' 'Shop until you drop'
 'Eat, drink and be merry' 'Large scale education'
 'Multiethnic urban high streets' 'Traditional high streets'
 'Manufacturing, energy and utilities' 'Industrial units' 'Market squares'
 'Mining and quarrying facilities' 'Low density wholesale and retail'
 'Business parks' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Accessible countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Traditional countryside' 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries']"
Cornwall,"['Manufacturing, energy and utilities' 'Large scale education'
 'Market squares' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Traditional high streets'
 'Public administration and security' 'Low density wholesale and retail'
 'Eat, drink and be merry' 'Mining and quarrying facilities'
 'Town fringe countryside ' 'Healthcare and public administration'
 'Traditional countryside' 'Accessible countryside'
 'Primarily residential suburbs']"
Cotswold,"['Manufacturing, energy and utilities' 'Town fringe countryside '
 'Large scale education' 'Low density wholesale and retail'
 'Healthcare and public administration'
 'Public administration and security' 'Market squares'
 'Traditional high streets' 'Eat, drink and be merry' 'Business parks'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Traditional countryside' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas']"
County Durham,"['Public administration and security' 'Market squares'
 'Traditional high streets' 'Large scale education'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Town fringe countryside ' 'Low density wholesale and retail'
 'Healthcare and public administration' 'Rural with mining or quarrying'
 'Business parks' 'Administrative centres ' 'Eat, drink and be merry'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Traditional countryside' 'Accessible countryside']"
Coventry,"['Metro suburban distribution industries' 'Business parks'
 'Mining and quarrying facilities' 'Regional business centres'
 'Multiethnic urban high streets' 'Science and business parks'
 'Industrial units' 'Large scale education' 'Eat, drink and be merry'
 'Healthcare and public administration' 'Shop until you drop'
 'Administrative centres ' 'Public administration and security'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas']"
Craven,"['Accessible countryside' 'Market squares'
 'Public administration and security' 'Traditional high streets'
 'Large scale education' 'Multiethnic urban high streets'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Town fringe countryside ' 'Manufacturing, energy and utilities'
 'Primarily residential suburbs' 'Low density wholesale and retail'
 'Non-metropolitan suburban areas' 'Business parks']"
Crawley,"['Science and business parks' 'Industrial units' 'Business parks'
 'Healthcare and public administration' 'Big city life'
 'Administrative centres ' 'Manufacturing, energy and utilities'
 'Multiethnic urban high streets' 'Shop until you drop'
 'Regional business centres' 'Accessible countryside'
 'Mining and quarrying facilities' 'Eat, drink and be merry'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries' 'Primarily residential suburbs'
 'Large scale education' 'Public administration and security'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas']"
Croydon,"['Administrative centres ' 'Industrial units' 'Shop until you drop'
 'Metro suburban distribution industries' 'Big city life' 'Business parks'
 'Multiethnic urban high streets' 'Regional business centres'
 'Global business' 'Teachers and carers in metro suburbs'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs']"
Dacorum,"['Science and business parks' 'Industrial units'
 'Regional business centres' 'Business parks'
 'Metro suburban distribution industries' 'Eat, drink and be merry'
 'Market squares' 'Traditional high streets'
 'Public administration and security'
 'Healthcare and public administration' 'Accessible countryside'
 'Shop until you drop' 'Big city life' 'Administrative centres '
 'Rural with mining or quarrying' 'Traditional countryside'
 'Large scale education' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs' 'Non-metropolitan suburban areas'
 'Multiethnic urban high streets']"
Darlington,"['Traditional high streets' 'Market squares'
 'Public administration and security' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Shop until you drop' 'Mining and quarrying facilities'
 'Rural with mining or quarrying' 'Business parks' 'Large scale education'
 'Healthcare and public administration' 'Accessible countryside'
 'Town fringe countryside ' 'Traditional countryside'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs']"
Dartford,"['Industrial units' 'Healthcare and public administration'
 'Large scale education' 'Business parks' 'Shop until you drop'
 'Science and business parks' 'Multiethnic urban high streets'
 'Traditional high streets' 'Regional business centres' 'Big city life'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Traditional countryside'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Accessible countryside']"
Daventry,"['Multiethnic urban high streets' 'Market squares'
 'Traditional high streets' 'Business parks' 'Industrial units'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Large scale education' 'Traditional countryside'
 'Healthcare and public administration' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs']"
Derby,"['Large scale education' 'Industrial units' 'Science and business parks'
 'Regional business centres' 'Multiethnic urban high streets'
 'Business parks' 'Mining and quarrying facilities'
 'Healthcare and public administration' 'Eat, drink and be merry'
 'Shop until you drop' 'Traditional high streets'
 'Public administration and security'
 'Metro suburban distribution industries'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs' 'Traditional countryside'
 'Self-employed tradespeople in multicultural metro suburbs']"
Derbyshire Dales,"['Industrial units' 'Market squares' 'Accessible countryside'
 'Traditional countryside' 'Town fringe countryside '
 'Rural with mining or quarrying' 'Mining and quarrying facilities'
 'Non-metropolitan suburban areas' 'Public administration and security'
 'Large scale education' 'Low density wholesale and retail']"
Doncaster,"['Mining and quarrying facilities' 'Industrial units'
 'Low density wholesale and retail' 'Healthcare and public administration'
 'Large scale education' 'Manufacturing, energy and utilities'
 'Business parks' 'Public administration and security'
 'Shop until you drop' 'Rural with mining or quarrying' 'Market squares'
 'Traditional high streets' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Town fringe countryside '
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Self-employed tradespeople in multicultural metro suburbs']"
Dorset,"['Healthcare and public administration' 'Market squares'
 'Traditional high streets' 'Business parks'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Traditional countryside'
 'Accessible countryside' 'Eat, drink and be merry'
 'Large scale education' 'Mining and quarrying facilities'
 'Low density wholesale and retail' 'Town fringe countryside '
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs']"
Dover,"['Manufacturing, energy and utilities' 'Large scale education'
 'Low density wholesale and retail' 'Market squares'
 'Public administration and security' 'Accessible countryside'
 'Industrial units' 'Traditional high streets' 'Business parks'
 'Multiethnic urban high streets' 'Traditional countryside'
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Healthcare and public administration' 'Eat, drink and be merry'
 'Mining and quarrying facilities']"
Dudley,"['Traditional high streets' 'Big city life' 'Industrial units'
 'Large scale education' 'Manufacturing, energy and utilities'
 'Business parks' 'Healthcare and public administration'
 'Regional business centres' 'Low density wholesale and retail'
 'Eat, drink and be merry' 'Multiethnic urban high streets'
 'Shop until you drop' 'Science and business parks'
 'Public administration and security'
 'Metro suburban distribution industries' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs' 'Mining and quarrying facilities'
 'Market squares' 'Accessible countryside' 'Traditional countryside']"
Ealing,"['Big city life' 'Metro suburban distribution industries'
 'Administrative centres ' 'Shop until you drop' 'Industrial units'
 'Science and business parks' 'Global business'
 'Teachers and carers in metro suburbs'
 'Independent professional metro services'
 'Multiethnic urban high streets'
 'Self-employed tradespeople in multicultural metro suburbs']"
East Cambridgeshire,"['Accessible countryside' 'Traditional high streets'
 'Professional home-workers in outer suburbs'
 'Manufacturing, energy and utilities' 'Business parks'
 'Low density wholesale and retail' 'Public administration and security'
 'Market squares' 'Multiethnic urban high streets'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Traditional countryside'
 'Primarily residential suburbs' 'Healthcare and public administration'
 'Large scale education']"
East Devon,"['Market squares' 'Large scale education'
 'Manufacturing, energy and utilities' 'Town fringe countryside '
 'Accessible countryside' 'Business parks'
 'Mining and quarrying facilities' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Traditional high streets'
 'Eat, drink and be merry' 'Traditional countryside'
 'Primarily residential suburbs' 'Low density wholesale and retail'
 'Public administration and security']"
East Hampshire,"['Business parks' 'Manufacturing, energy and utilities' 'Market squares'
 'Traditional high streets' 'Healthcare and public administration'
 'Public administration and security' 'Mining and quarrying facilities'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Town fringe countryside ' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Traditional countryside'
 'Non-metropolitan suburban areas' 'Large scale education'
 'Primarily residential suburbs' 'Low density wholesale and retail'
 'Professional home-workers in outer suburbs']"
East Hertfordshire,"['Business parks' 'Eat, drink and be merry' 'Traditional high streets'
 'Public administration and security' 'Shop until you drop'
 'Mining and quarrying facilities' 'Healthcare and public administration'
 'Regional business centres' 'Large scale education'
 'Science and business parks' 'Manufacturing, energy and utilities'
 'Accessible countryside' 'Teachers and carers in metro suburbs'
 'Market squares' 'Non-metropolitan suburban areas'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Low density wholesale and retail'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Metro suburban distribution industries'
 'Multiethnic urban high streets']"
East Lindsey,"['Town fringe countryside ' 'Market squares'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Traditional high streets' 'Public administration and security'
 'Healthcare and public administration' 'Multiethnic urban high streets'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Large scale education' 'Non-metropolitan suburban areas'
 'Mining and quarrying facilities' 'Accessible countryside']"
East Northamptonshire,"['Eat, drink and be merry' 'Accessible countryside'
 'Multiethnic urban high streets' 'Large scale education'
 'Low density wholesale and retail' 'Industrial units' 'Market squares'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Manufacturing, energy and utilities' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Public administration and security'
 'Primarily residential suburbs' 'Business parks']"
East Riding of Yorkshire,"['Non-metropolitan suburban areas' 'Low density wholesale and retail'
 'Traditional high streets' 'Market squares'
 'Healthcare and public administration' 'Town fringe countryside '
 'Manufacturing, energy and utilities' 'Large scale education'
 'Mining and quarrying facilities' 'Public administration and security'
 'Accessible countryside' 'Business parks' 'Eat, drink and be merry'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Primarily residential suburbs']"
East Staffordshire,"['Manufacturing, energy and utilities' 'Large scale education'
 'Science and business parks' 'Multiethnic urban high streets'
 'Low density wholesale and retail' 'Public administration and security'
 'Business parks' 'Industrial units' 'Mining and quarrying facilities'
 'Accessible countryside' 'Town fringe countryside ' 'Market squares'
 'Healthcare and public administration' 'Traditional high streets'
 'Shop until you drop' 'Traditional countryside'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs']"
East Suffolk,"['Market squares' 'Public administration and security'
 'Manufacturing, energy and utilities' 'Traditional high streets'
 'Town fringe countryside ' 'Business parks' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Large scale education'
 'Mining and quarrying facilities' 'Non-metropolitan suburban areas'
 'Healthcare and public administration' 'Traditional countryside'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Primarily residential suburbs' 'Multiethnic urban high streets'
 'Professional home-workers in outer suburbs' 'Science and business parks'
 'Industrial units']"
Eastbourne,"['Traditional high streets' 'Shop until you drop'
 'Multiethnic urban high streets' 'Industrial units'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Public administration and security' 'Regional business centres'
 'Eat, drink and be merry' 'Market squares'
 'Healthcare and public administration' 'Business parks'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Large scale education' 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries' 'Accessible countryside'
 'Traditional countryside']"
Eastleigh,"['Science and business parks' 'Regional business centres' 'Business parks'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Public administration and security' 'Traditional high streets'
 'Multiethnic urban high streets' 'Healthcare and public administration'
 'Eat, drink and be merry' 'Low density wholesale and retail'
 'Non-metropolitan suburban areas' 'Industrial units'
 'Shop until you drop' 'Large scale education'
 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs' 'Traditional countryside'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Market squares']"
Eden,"['Rural with mining or quarrying' 'Low density wholesale and retail'
 'Market squares' 'Public administration and security'
 'Mining and quarrying facilities' 'Traditional high streets'
 'Large scale education' 'Manufacturing, energy and utilities'
 'Traditional countryside' 'Accessible countryside'
 'Town fringe countryside ' 'Non-metropolitan suburban areas']"
Elmbridge,"['Eat, drink and be merry' 'Global business' 'Accessible countryside'
 'Market squares' 'Public administration and security'
 'Science and business parks' 'Healthcare and public administration'
 'Big city life' 'Administrative centres ' 'Industrial units'
 'Shop until you drop' 'Business parks' 'Large scale education'
 'Regional business centres' 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Independent professional metro services'
 'Metro suburban distribution industries' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Teachers and carers in metro suburbs'
 'Non-metropolitan suburban areas']"
Enfield,"['Mining and quarrying facilities' 'Large scale education'
 'Teachers and carers in metro suburbs' 'Low density wholesale and retail'
 'Accessible countryside' 'Industrial units' 'Science and business parks'
 'Big city life' 'Metro suburban distribution industries'
 'Multiethnic urban high streets' 'Healthcare and public administration'
 'Shop until you drop' 'Administrative centres ' 'Eat, drink and be merry'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Independent professional metro services'
 'Professional home-workers in outer suburbs']"
Epping Forest,"['Teachers and carers in metro suburbs' 'Multiethnic urban high streets'
 'Healthcare and public administration'
 'Public administration and security' 'Traditional high streets'
 'Low density wholesale and retail' 'Science and business parks'
 'Industrial units' 'Big city life' 'Eat, drink and be merry'
 'Metro suburban distribution industries' 'Accessible countryside'
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Business parks']"
Epsom and Ewell,"['Industrial units' 'Healthcare and public administration'
 'Metro suburban distribution industries' 'Large scale education'
 'Shop until you drop' 'Science and business parks'
 'Regional business centres' 'Business parks' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Big city life'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Teachers and carers in metro suburbs' 'Traditional countryside']"
Erewash,"['Mining and quarrying facilities' 'Market squares'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Traditional high streets' 'Public administration and security'
 'Large scale education' 'Industrial units'
 'Healthcare and public administration' 'Non-metropolitan suburban areas'
 'Accessible countryside' 'Traditional countryside'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Primarily residential suburbs' 'Business parks'
 'Professional home-workers in outer suburbs'
 'Multiethnic urban high streets']"
Exeter,"['Business parks' 'Manufacturing, energy and utilities'
 'Public administration and security' 'Low density wholesale and retail'
 'Mining and quarrying facilities' 'Large scale education'
 'Eat, drink and be merry' 'Market squares' 'Industrial units'
 'Healthcare and public administration' 'Shop until you drop'
 'Non-metropolitan suburban areas' 'Traditional high streets'
 'Regional business centres' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Traditional countryside'
 'Professional home-workers in outer suburbs']"
Fareham,"['Public administration and security'
 'Manufacturing, energy and utilities' 'Business parks'
 'Healthcare and public administration' 'Market squares'
 'Shop until you drop' 'Traditional high streets'
 'Eat, drink and be merry' 'Low density wholesale and retail'
 'Accessible countryside' 'Mining and quarrying facilities'
 'Large scale education' 'Primarily residential suburbs'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Town fringe countryside ']"
Fenland,"['Manufacturing, energy and utilities'
 'Healthcare and public administration' 'Non-metropolitan suburban areas'
 'Rural with mining or quarrying' 'Traditional high streets'
 'Public administration and security' 'Market squares'
 'Low density wholesale and retail' 'Industrial units'
 'Mining and quarrying facilities' 'Traditional countryside'
 'Town fringe countryside ' 'Metro suburban distribution industries'
 'Large scale education' 'Accessible countryside'
 'Primarily residential suburbs']"
Folkestone and Hythe,"['Regional business centres' 'Market squares'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Large scale education'
 'Business parks' 'Traditional high streets'
 'Healthcare and public administration' 'Traditional countryside'
 'Accessible countryside' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Teachers and carers in metro suburbs'
 'Rural with mining or quarrying' 'Low density wholesale and retail'
 'Town fringe countryside ' 'Mining and quarrying facilities'
 'Eat, drink and be merry' 'Professional home-workers in outer suburbs']"
Forest of Dean,"['Manufacturing, energy and utilities' 'Large scale education'
 'Market squares' 'Public administration and security'
 'Mining and quarrying facilities' 'Traditional countryside'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Healthcare and public administration' 'Primarily residential suburbs']"
Fylde,"['Public administration and security' 'Market squares'
 'Eat, drink and be merry' 'Industrial units'
 'Mining and quarrying facilities' 'Low density wholesale and retail'
 'Manufacturing, energy and utilities' 'Business parks'
 'Town fringe countryside ' 'Accessible countryside'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Large scale education' 'Primarily residential suburbs'
 'Healthcare and public administration']"
Gateshead,"['Manufacturing, energy and utilities' 'Large scale education'
 'Mining and quarrying facilities' 'Public administration and security'
 'Traditional high streets' 'Healthcare and public administration'
 'Market squares' 'Business parks' 'Rural with mining or quarrying'
 'Low density wholesale and retail' 'Industrial units'
 'Regional business centres' 'Shop until you drop'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Traditional countryside'
 'Multiethnic urban high streets' 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs']"
Gedling,"['Business parks' 'Low density wholesale and retail'
 'Healthcare and public administration'
 'Public administration and security' 'Industrial units'
 'Mining and quarrying facilities' 'Multiethnic urban high streets'
 'Rural with mining or quarrying' 'Manufacturing, energy and utilities'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Accessible countryside' 'Primarily residential suburbs' 'Market squares'
 'Large scale education' 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Self-employed tradespeople in multicultural metro suburbs']"
Gloucester,"['Traditional high streets' 'Regional business centres'
 'Multiethnic urban high streets' 'Healthcare and public administration'
 'Industrial units' 'Manufacturing, energy and utilities' 'Business parks'
 'Shop until you drop' 'Public administration and security'
 'Mining and quarrying facilities' 'Low density wholesale and retail'
 'Eat, drink and be merry' 'Market squares' 'Science and business parks'
 'Non-metropolitan suburban areas' 'Large scale education'
 'Primarily residential suburbs' 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries'
 'Professional home-workers in outer suburbs'
 'Rural with mining or quarrying']"
Gosport,"['Manufacturing, energy and utilities' 'Non-metropolitan suburban areas'
 'Public administration and security' 'Market squares'
 'Low density wholesale and retail' 'Traditional high streets'
 'Primarily residential suburbs' 'Large scale education' 'Business parks'
 'Healthcare and public administration']"
Gravesham,"['Multiethnic urban high streets' 'Metro suburban distribution industries'
 'Industrial units' 'Accessible countryside'
 'Mining and quarrying facilities' 'Shop until you drop'
 'Public administration and security'
 'Healthcare and public administration'
 'Teachers and carers in metro suburbs' 'Business parks'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Large scale education'
 'Traditional countryside']"
Great Yarmouth,"['Mining and quarrying facilities' 'Large scale education'
 'Traditional high streets' 'Low density wholesale and retail'
 'Public administration and security' 'Eat, drink and be merry'
 'Market squares' 'Rural with mining or quarrying'
 'Traditional countryside' 'Town fringe countryside '
 'Non-metropolitan suburban areas' 'Healthcare and public administration'
 'Primarily residential suburbs']"
Greenwich,"['Science and business parks' 'Multiethnic urban high streets'
 'Big city life' 'Administrative centres ' 'Industrial units'
 'Shop until you drop' 'Healthcare and public administration'
 'Metro suburban distribution industries'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Independent professional metro services'
 'Professional home-workers in outer suburbs']"
Guildford,"['Large scale education' 'Science and business parks'
 'Healthcare and public administration'
 'Public administration and security' 'Business parks' 'Industrial units'
 'Regional business centres' 'Big city life' 'Shop until you drop'
 'Global business' 'Eat, drink and be merry' 'Accessible countryside'
 'Primarily residential suburbs' 'Manufacturing, energy and utilities'
 'Administrative centres ' 'Traditional countryside'
 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries' 'Town fringe countryside '
 'Non-metropolitan suburban areas' 'Multiethnic urban high streets']"
Hackney,"['Administrative centres ' 'Big city life'
 'Metro suburban distribution industries' 'Global business'
 'Regional business centres' 'Teachers and carers in metro suburbs'
 'Independent professional metro services' 'Science and business parks'
 'Self-employed tradespeople in multicultural metro suburbs']"
Halton,"['Traditional high streets' 'Low density wholesale and retail'
 'Healthcare and public administration' 'Business parks'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Large scale education' 'Accessible countryside'
 'Public administration and security' 'Market squares'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Multiethnic urban high streets'
 'Town fringe countryside ' 'Science and business parks']"
Hambleton,"['Market squares' 'Public administration and security'
 'Accessible countryside' 'Business parks' 'Large scale education'
 'Industrial units' 'Rural with mining or quarrying'
 'Mining and quarrying facilities' 'Traditional high streets'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Town fringe countryside ' 'Traditional countryside'
 'Non-metropolitan suburban areas' 'Healthcare and public administration']"
Hammersmith and Fulham,"['Global business' 'Science and business parks' 'Big city life'
 'Metro suburban distribution industries' 'Industrial units'
 'Administrative centres ' 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs']"
Harborough,"['Industrial units' 'Market squares' 'Science and business parks'
 'Low density wholesale and retail' 'Public administration and security'
 'Business parks' 'Mining and quarrying facilities'
 'Traditional high streets' 'Manufacturing, energy and utilities'
 'Large scale education' 'Teachers and carers in metro suburbs'
 'Traditional countryside' 'Accessible countryside'
 'Metro suburban distribution industries'
 'Non-metropolitan suburban areas' 'Town fringe countryside '
 'Multiethnic urban high streets' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Healthcare and public administration']"
Haringey,"['Metro suburban distribution industries'
 'Independent professional metro services'
 'Teachers and carers in metro suburbs' 'Administrative centres '
 'Big city life' 'Shop until you drop' 'Industrial units'
 'Science and business parks'
 'Self-employed tradespeople in multicultural metro suburbs']"
Harlow,"['Healthcare and public administration' 'Business parks'
 'Industrial units' 'Regional business centres'
 'Manufacturing, energy and utilities' 'Science and business parks'
 'Multiethnic urban high streets' 'Shop until you drop'
 'Public administration and security' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs']"
Harrogate,"['Healthcare and public administration'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Eat, drink and be merry'
 'Large scale education' 'Business parks' 'Market squares'
 'Science and business parks' 'Traditional high streets'
 'Regional business centres' 'Shop until you drop'
 'Multiethnic urban high streets' 'Accessible countryside'
 'Low density wholesale and retail' 'Rural with mining or quarrying'
 'Traditional countryside' 'Primarily residential suburbs'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Mining and quarrying facilities' 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries']"
Harrow,"['Administrative centres ' 'Big city life' 'Shop until you drop'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs' 'Industrial units'
 'Science and business parks' 'Eat, drink and be merry'
 'Independent professional metro services'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Hart,"['Science and business parks' 'Accessible countryside'
 'Eat, drink and be merry' 'Public administration and security'
 'Market squares' 'Traditional high streets' 'Regional business centres'
 'Business parks' 'Metro suburban distribution industries'
 'Primarily residential suburbs' 'Traditional countryside'
 'Mining and quarrying facilities' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Healthcare and public administration' 'Large scale education']"
Hartlepool,"['Healthcare and public administration' 'Market squares'
 'Public administration and security' 'Low density wholesale and retail'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Large scale education' 'Traditional high streets'
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Town fringe countryside ' 'Business parks']"
